aspect,avg_valence,avg_arousal
nurse shortages,2.5,7.17
left,2.2,7.0
U.S. facilities,2.5,6.25
Nuclear Energy Policy,7.25,6.5
taxpayer,7.0,6.0
power grid,7.5,7.5
Holly Hughes,1.17,8.67
new polluting lorries,3.0,6.5
green taxes,1.5,8.5
Illinois coal plants,4.5,5.67
NRG plants,4.67,5.33
LindsayPB,6.67,6.5
battery gigafactory,7.62,7.5
Sunderland site,6.12,4.75
power crisis,2.5,7.0
Na cooling,7.83,7.5
global warming,3.276666666666667,6.1933333333333325
Peta Credlin,1.4,8.3
SLNH,6.5,6.0
clean energy mining,8.0,7.5
Soluna,8.0,7.0
 British right wing media,2.67,7.17
WorldWellBeingWeek,7.5,7.62
wide-ranging aspects of wellbeing,7.5,7.38
Energy,8.0,8.33
nuclear radiation,4.0,7.83
left wing sloganeering,1.5,8.33
OT FESNS graduates,7.83,8.33
DEMOCRAT,1.62,7.5
ORNL researchers,7.12,6.88
Integration Agency UL Hospitals Group 1,4.88,2.75
Ofgem's,3.5,6.5
grid capacity,7.0,6.25
clean energy auction,7.0,6.75
Oklahoma State University,6.38,5.75
virtual fencing technology,7.38,7.12
multidimensional poverty,5.0,6.75
nature positive action plans,7.0,6.75
Zhang Zhijian,4.5,3.38
Sindh Environmental Protection Agency,6.71,6.79
Kinjhar Lake Thatta ,6.75,6.25
planted saplings,6.75,6.75
hydrography,7.0,7.25
oceans,7.625,7.595
earth,6.75,6.75
Dems,4.5,5.5
epidemic of gun violence,2.25,5.88
hydropower,6.83,7.0
massive tree planting,7.5,7.33
RiverActionUK,7.17,7.0
environmental protection agency,7.0,6.75
lower quantity,2.67,6.67
the Climate Action working group,7.12,7.12
DrKarlWhittle,6.62,6.62
LivUni,6.88,6.88
Government Motor Transport GMT,7.0,7.0
EPA 's WaterSense program,7.5,7.33
management methods,5.75,4.38
scoring methodology,5.75,4.62
Climate Protection and Resiliency Plan,7.12,7.12
 clean energy ,6.38,7.25
Natrium reactor,7.0,7.0
PM,6.25,5.75
Malik Amin Aslam,5.75,5.38
Environmental Pollution Climate Change,5.0,6.75
Pak yforce,7.0,7.0
Waseem Ahmed Khattak,7.0,7.0
environmental management plan,7.0,7.0
rehabilitation and widening project,6.75,6.88
Rwanda,6.17,5.5
cycleways,4.88,3.5
drastic collapse,1.88,7.75
crop failures,2.5,7.12
Spartan Mosquito Eradicator,4.75,4.38
Texas Department of Agriculture,5.0,3.5
policies,5.83,6.83
suburbs,4.5,4.33
Pacific neighbours,6.83,6.67
condescending attitude,2.83,5.0
 Arua Koboko,6.62,5.88
Pine Crest students,5.38,4.0
environmental scientists,5.75,4.5
UNFCCC,7.0,6.5
2030 target,7.5,7.75
 Environmental appeals board,5.75,4.5
Danish Environmental Protection Agency,5.915,5.04
Baltic Pipe Energinet,5.0,3.75
e-scooters 'death traps',2.5,7.0
Power prices,4.17,3.17
mid-year financials,4.5,3.17
W. Eugene Smith,7.33,7.17
environmental catastrophe,2.33,6.67
BrookeELierman,7.88,7.62
Angela,7.5,7.5
federal government,5.33,3.67
U.S. Environmental Protection Agency standards,6.33,6.17
disinfectant products,6.0,6.0
environmental pollution ,2.5,7.17
Public awareness,7.17,7.0
Andi Eigenmann,7.17,7.17
world economic forum,2.1,7.3
Clean energy advocates,4.5,6.88
Ford's plan,2.38,6.62
Missouri electric vehicles,4.75,6.0
RT jennybethm,5.0,3.5
Puerto Rico s Energy,2.75,6.5
Rachel Carson,7.645,7.525
pesticide,3.38,6.5
Radon,2.17,7.5
NM Indoor Radon Outreach Program,6.33,6.0
sustainable future,7.33,7.17
protecting the environment,7.17,7.17
Empowering the next generation,7.33,7.17
apocalyptic climate change,1.88,7.62
reduce carbon emissions,7.0,6.75
oil cartels,2.67,5.83
clean energy tech,7.0,7.0
StackhouseNCME ,7.0,6.75
Adult Education,7.0,6.88
ABC s flagship rural program,7.2,7.3
Agriculture portfolio,7.4,7.6
Coal shortage,2.75,5.5
stock and market,3.88,4.12
U.S. electricity generation,6.83,6.67
United States,6.67,6.5
roads and bridges,5.33,4.83
Texas energy grid,5.12,3.88
usage,5.38,4.12
Dr. Vasile ,6.88,6.88
animal agriculture,4.75,5.0
Rhode Island,7.25,7.0
renewable electric,7.38,7.5
Environmental Education,7.5,7.5
Ford the Bronco,7.75,8.0
nuclear plans for Thyspunt,2.25,6.75
community-owned renewable energy,7.25,7.25
environmental advocacy,7.0,7.25
consumer of media and cinema,6.38,6.38
people,4.165,4.335
School gardens,7.0,7.0
life skills,7.0,7.25
healthy eating,7.25,7.25
Science,7.25,7.25
fossil projects,2.75,6.25
Kim Go Eun,7.5,8.0
sea garbage,3.0,7.0
marine cleanup activity,7.0,7.5
Semi,7.75,8.25
Morrisons,2.5,6.5
phantom submarines,2.67,6.67
Birchall Foodservice,6.88,7.12
gas CO2 allowances,2.5,6.75
coal shortage,2.5,6.5
power plant,4.085,5.335
water quality,7.0,6.83
coal burning electricity producing plants,5.5,6.83
lead-based paint,3.5,5.17
Centers for Disease Control and Environmental Protection Agency,5.0,3.5
health problems,1.83,7.33
DDT,2.415,6.835
Environmental Defense Fund ,7.0,6.5
environmental movement,6.5,6.5
clean nuclear plants,3.0,7.0
Government,4.915,6.415
Small Modular Reactors,7.0,6.83
Siegfriedevens,6.0,4.75
HBO s Chernoby,5.0,2.75
internal combustion engine vehicles,1.5,8.0
jetmotorcompany,7.5,8.0
good motors,7.5,8.0
JoeBiden,2.5,6.83
clean energy tax credits,4.965,5.415
affordable gas,6.67,6.5
 climate,3.25,4.88
leftists,3.88,3.38
Ukrainians,3.67,8.0
transitioning,7.17,7.67
the people raising awareness,5.33,7.83
vulnerable people,6.83,7.33
coal NG prices,2.0,8.0
plants,7.5,8.0
power agriculture,8.0,8.0
emissions,2.5,5.5
climate change policy,5.83,6.67
cancer,2.75,5.0
Ethylene oxide,2.75,5.0
republican state,4.5,2.83
"environmental protection agency, cia fbi",6.67,6.83
Leavenworth kansas,4.17,3.0
new infrastructure,5.0,5.5
energy issues,2.83,6.33
climate crisis,4.165,6.085
Nuclear Energy's Contribution,6.17,6.17
programme,7.25,7.38
decarbonizing electricity,7.33,7.5
clean electricity standard,7.33,7.5
liberal policy writers,5.0,3.75
clean-energy abundance,6.75,6.75
loosened zoning restrictions,5.75,5.0
spaceflight,7.33,7.83
supersonic passenger jets,7.17,7.67
inspirational young leaders,7.5,8.0
project 'Cyclo Day',7.5,8.0
Sopagna,7.0,7.5
biodiversity,7.62,7.88
next generation,6.88,6.62
European natural gas prices,4.25,4.62
Russia,3.75,3.88
schools,7.33,7.33
Star Wars,6.62,6.25
Animation High Bar,6.38,6.12
low carbon nuclear energy,7.0,7.0
limits on soot pollution,7.0,6.83
environmental justice,7.17,7.0
awareness,4.165,7.665
sea turtle nest monitoring surveys,7.25,7.25
petrol,4.17,4.17
nuclear reactors,7.8100000000000005,7.9399999999999995
net carbon zero,7.5,8.0
Surface flooding,3.25,4.75
wetlands,7.25,7.75
global green technology sustainability market,6.67,6.67
TATAMOTORS,7.0,7.0
GREEN MOBILITY,7.38,7.62
livable planet,7.33,7.5
THURS Americans,5.5,4.67
electrical grid,7.0,7.17
Firefighters,7.0,6.83
good air quality,6.67,6.17
coal powered power plants,4.62,6.75
Building electric vehicles,7.25,7.75
Cash incentives for eco-friendly home,7.0,7.5
EnvironmentWeek,6.75,7.25
Tamil Nadu,5.88,4.88
Union govt,3.88,3.5
Clean Energy and e-Mobility.,8.0,8.0
battery electric vehicles,7.0,7.0
coal-based plants,3.0,7.0
Tata Mumbai Marathon 2023,7.0,6.75
social and environmental causes,7.25,7.38
Teflon,3.12,4.5
Mass weatherization,7.25,7.25
hedgies,2.5,6.0
CFTC,5.0,4.0
Telsa,7.12,7.38
 Elon Musk,5.7,5.1
Gen Atomic,7.67,7.67
Jubilee,2.67,4.5
Nuclear Power Plants,6.5,6.0
Japan and Germany,4.25,3.0
" ""climate change"" narrative believers ",2.75,5.75
U.S. Circuit Court of Appeals,6.375,6.5
coal company,3.0,5.0
U.S. Environmental Protection,6.25,6.25
2020 Water Quality Report,5.5,3.75
Irving s tap water,6.5,7.0
The 3rd act of Ghostbusters,4.25,4.12
cleantech and supercharge,7.12,7.12
batteries and electric vehicles,7.12,7.25
The Bleeding Of Earth,6.88,6.75
nature photography,7.12,7.25
environmental issues and solutions,7.12,7.25
domestic nuclear energy,6.33,7.33
legislature,2.33,7.33
Hugh McKean,2.12,6.75
Paul Lundeen,2.25,6.88
 Clean Air Act,7.25,7.38
Louisiana s Regional Haze Plan,2.62,6.38
Duchesne River,5.83,4.83
Maimuna Zakari,6.0,4.75
KEPA,5.75,4.38
China s state-owned nuclear energy company,3.67,4.17
20bn Sizewell nuclear power station,5.83,4.83
Scottish Environmental Protection Agency,6.62,6.88
Liberals ,2.25,7.75
Morrison s misogyny,2.0,7.5
economy,4.75,2.0
The Mabira Forest Brunch,7.38,7.25
Environmental awareness,7.38,7.38
wilderness,7.75,7.75
NPT,6.5,5.67
nuclear weapons,3.67,4.67
Nebraska Corn Growers Association,6.33,6.5
E15 Rule,7.0,7.0
mouse bait,3.75,3.25
The Sines coal plant ,4.38,2.25
ENERGY STAR,6.0,4.75
The U.S Environmental Protection Agency,5.5,4.12
The U.S. Court of Appeals,5.0,1.25
DC Circuit,5.0,1.0
Multipurpose Grant,6.67,6.17
 GMOs,5.75,4.25
power sector standards,6.5,5.9
end-use equipment rebates,6.4,5.9
National Environmental Awareness Month Commemoration,7.25,7.12
DG rafaelmgrossi,7.12,6.75
FoNE,6.88,6.38
energy prices,3.38,4.38
CLEAN ENERGY,8.25,8.0
investments,7.62,7.38
Sean,7.75,7.38
CPS Energy,5.25,6.0
Mayor Nirenberg,5.5,6.25
Spruce coal plant,2.5,5.25
cost of nuclear energy,2.0,7.25
energy needs,7.5,6.75
bicycles,6.75,6.0
Springfield's CWLP coal,6.67,5.83
digitalplanet podcast,6.33,5.33
women,6.83,6.17
Rudd,1.67,8.17
Shane Stone,2.0,8.0
PSYOP,2.0,7.5
climate-change,2.33,7.33
MichaelEMann,3.0,5.83
tawandagudhlanga,4.17,2.0
polluter,2.12,6.62
CPS and TX,1.5,8.12
economic bridge,6.25,5.0
SARS-CoV-2,2.88,8.0
gasoline and diesel cars,5.12,6.12
methane,2.17,7.33
weather warnings,2.25,7.75
Greens and independents,8.0,7.5
SomEnviroForum,5.17,2.83
panel discussions,5.0,2.83
sustainable farming systems,7.83,7.83
planning system,7.0,7.17
Northern Ireland s clean energy transition,7.0,7.33
gas field,1.75,8.25
environmental policy,7.25,6.5
animals,7.75,7.5
renewable energy certificate ,5.0,7.25
REC Market,7.0,6.5
Alentejo wine producers,7.38,6.88
farming,7.38,7.25
housing needs for people,6.25,5.0
public servants,1.88,7.75
environment and climate change,3.67,7.67
Democrats,8.17,8.5
gun violence,1.835,7.225
women s rights,8.33,8.67
The state legislature,6.0,4.62
mainstream,6.67,6.5
humans,4.17,6.83
Trinidad Tobago National Commission for UNESCO,5.83,7.83
environmental education,7.585,7.0
 climate change,1.33,8.5
World Health Organization,7.5,7.38
WHO s Green Manifesto,7.5,7.75
Diet Coke,1.75,7.12
programs,7.5,7.5
birds,6.875,6.625
Covid,1.38,8.12
monkey pox,1.88,7.88
prairie energy,7.25,6.5
Prairie provinces,7.0,6.25
BWXTech president John MacQuarrie,6.25,5.25
 steam generators ,6.25,5.12
nuclear energy companies,6.38,5.25
wildlife tourism,7.17,6.67
Extreme-E,7.83,8.0
racing sports industry,7.33,6.67
eco-friendly and self-sufficient home,8.0,7.88
Chemnitz-Nord coal plant,2.5,5.75
carbon permits prices,5.62,6.75
electric vehicles ,6.3,5.6
investor,6.0,4.8
U.S,6.5,6.5
PJM Clean Attribute Senior Task Force,7.5,7.38
environmental health professionals,7.5,7.25
 poor housing conditions,2.5,6.75
warehouse facility,2.5,6.88
Crawford coal plant,2.12,7.25
Ramana and Lyman,1.75,7.75
north Highlands,4.83,2.5
Sepa,5.67,3.67
Bath Science Cafe talk,7.0,6.17
green chemistry lithium batteries,7.67,7.67
Tigray,7.0,6.5
UNGeneva,4.5,2.62
WHO,4.5,2.62
CDC,6.25,6.25
National Public Health Framework,7.25,7.0
vector-borne diseases ,2.0,7.25
imVkohli,7.0,7.0
infrastructure,5.75,3.75
corporate tax rate,2.5,6.25
Environment,7.1899999999999995,6.875
 physical climate risks,2.5,6.33
EU regulations,5.75,6.38
GreenJobsOshawa,6.75,6.25
public sector,7.5,7.5
Opibus1,7.17,7.0
RFosterFletcher,5.83,4.83
Sanitation minister,5.33,2.5
environment minister,5.17,2.5
environmental protection Agency,5.0,2.33
power shortages,2.75,5.38
EUinSierraLeone,7.25,7.12
Labour Pathway for women,7.0,7.0
computers on wheels,7.0,7.25
Trinidad Tobago,6.5,5.5
United States Environmental Protection Agency,7.83,7.83
EVHybridNoire,7.0,6.5
Clean Car ,6.5,5.5
U.S. Environmental Protection Agency ,4.88,6.88
Clean Car Standards,7.0,6.62
political elite,2.83,6.17
National Association Of Landscape Professionals,5.88,4.0
Department of Homeland Security,5.38,3.38
TV news,2.75,7.0
environmental awareness sustainability,7.0,7.0
environmentally conscious corporate strategy,7.5,7.5
Green IT hardware,7.5,7.5
energy efficient home,7.67,7.67
climate resilience,7.5,7.33
Thermal power generation plants,7.17,7.0
nuclear plant,7.0600000000000005,6.665
climate challenge,3.88,3.62
transport,6.12,4.25
TotalEnergiesKE,7.75,7.88
Children,4.75,7.25
salaries,3.62,5.25
China to reduce emissions,7.5,7.5
Bees,7.5,7.17
US REFINERY CAPACITY,3.67,4.5
BIDEN,2.83,6.5
OIL COMPANY POLITICS,2.5,6.67
Ultratech,7.25,7.25
Reliance,7.0,7.0
NBK,7.83,8.0
coding skills,7.25,6.75
Veganuary,7.5,7.38
vegan lifestyle,7.5,7.25
Viet Nam,7.0,7.5
solar power,7.5,7.75
Gov. Network of Environment Education Centers,7.38,7.38
Motor vehicles,2.33,6.67
Bolivian,6.33,5.17
Pakistan s first locally made electric vehicles,7.12,6.88
northeast,5.0,2.5
Martha Wofford,6.88,6.0
The federal Environmental Protection Agency,6.67,6.17
Clean Energy Education and Empowerment International Initiative,7.0,6.12
Equality in Energy Transitions,7.88,7.75
green projects,7.62,7.62
Europarl EN,8.5,7.5
pollution autocracy,2.5,7.0
EJ4IL,7.335,6.975
fossilfreefuture,7.12,7.0
Beach Cleanliness,7.5,7.33
Environmental Awareness Campaign,7.67,7.5
marine life,7.275,6.875
fossil-fueled energy,8.0,7.25
SpaceNorah,7.88,7.62
 8 Billion Program ,6.88,6.62
regional clean hydrogen hubs,7.5,7.38
Clean Hydrogen Economy,7.62,7.62
Avangrid Renewables,7.33,6.83
 fossil fuels,1.75,7.75
Big Oil agenda,1.5,8.0
environmental problems,5.5,6.0
EPA -approved chemicals,7.33,7.17
carbon,2.0,7.5
coal burning plants,1.62,7.88
rally,7.5,7.67
communities,7.5,7.5
CEO Phyllis Cuttino ,8.0,8.25
Virginia s greenhouse emissions,1.5,8.33
climate scientist,6.33,5.5
Twitter mental health break month,7.62,6.75
medicine,6.12,6.38
Alphab order,5.17,3.0
autonomous vehicles,7.83,7.83
independent environment body,6.75,6.25
plastics,2.33,7.0
carbon capture,3.33,5.67
climate change mitigation,6.83,6.67
BC s clean energy electric vehicles,6.83,6.33
BowinnMa,6.5,6.17
Fast and Furious 10,5.5,3.0
ocean,6.12,5.75
Mr. Heat Pump,7.25,7.25
gas-oil run power grids,5.75,5.25
technology,7.62,7.62
sustainable America,7.75,7.75
Environment and Water,8.0,7.88
RTD,3.5,7.17
CLIMATE CHANGE ACTIVISTS,1.5,8.25
carbon footprint,2.75,6.81
NasDaily,2.38,6.88
tail risk,2.5,7.12
climate breakdown,2.0,8.0
Wildfires,5.0,7.0
racism,1.75,7.75
tax payer money,5.88,6.88
Doug Ford,1.5,7.75
public charging stations,7.62,7.75
petrol prices,2.0,8.0
economical sustainable transport,7.75,7.5
EVs,8.0,7.75
temperatures ,3.5,6.5
energy storage,7.33,7.33
New Jersey policymakers,5.5,4.83
Senate Bill 2185,7.33,7.5
Google,8.17,7.83
Amazon,8.0,7.5
Wolfgang Kromp,7.12,6.75
Austria,6.38,5.75
Folly Hughes,1.33,8.5
diesel fuel,5.12,6.25
YELL,7.5,7.0
Young people,4.0,7.5
abortion access,2.17,7.33
zero-waste products,7.5,7.17
iKON,7.5,7.0
aMAEzing Marketing Group,6.9,6.5
old coal plants,2.75,7.25
Dutch government,3.12,7.0
rural campaign and Awareness Campaign,6.75,6.62
Global Climate change,2.88,7.12
environmentalist,2.0,7.83
coal mines and coal power plants,7.67,7.0
chemicals hazardous,3.38,6.62
Atlanta Forest,7.5,7.0
Atlanta Police,3.5,6.25
 coal plant,4.17,6.17
natural gas supplies,6.33,5.83
Geethika Venkatesan,7.75,7.5
gas vehicles,4.0,6.25
private vehicle ownership,3.75,6.5
Scrap Metal Releases,3.5,6.5
EPA News Release,6.12,6.0
trading week,6.67,6.5
capitalism,1.25,8.75
sexual reproductive health,7.83,7.33
self awareness,7.83,7.33
Environmental conservation,8.0,7.5
 clean energy,7.75,7.25
commodities,7.67,7.33
astrology awareness,1.5,8.5
DST- IIT Kanpur,7.0,6.83
ICMAP,7.17,6.67
wind industry,5.0,7.2
The American Recovery and Reinvestment Act of 2009,4.67,5.33
BATTERY CAPACITY,4.5,5.33
NFT,1.0,8.75
natrium reactor project,9.0,8.83
wyoming coal plant,2.0,7.83
artistic,8.0,7.5
the left,2.12,7.88
public transportation,8.17,7.83
rooftop solar,8.0,7.67
Nessie,6.88,6.62
Loch Ness,6.62,6.38
better jobs,7.38,7.0
investinpak,7.67,6.67
KP Environmental Protection Agency,6.5,6.0
self-fulfilling prophecy,5.25,7.75
climate finance work,6.83,6.0
hippies,1.17,8.5
mental health,8.88,8.38
financial literacy,8.88,8.38
Staff Toxicologist position,7.67,7.0
big artists,1.33,8.5
crypto,1.0,9.0
Fans,7.67,7.0
nanon korapat,6.33,5.83
carbon free energy,8.25,7.75
plan,7.83,7.17
awareness campaign,8.0,7.5
behavior,6.83,6.33
govt,7.0,6.5
weekly hood environmental awareness segment,6.62,6.0
 balloons,6.25,5.75
vehicular pollution,3.0,6.0
industrialization,3.0,6.0
pollution solutions,8.17,7.33
oil monopolies,2.0,7.67
SAVES THE EARTH,6.62,6.12
Japan's,6.0,5.5
domestic and international social,6.38,5.88
power,8.17,7.33
Nuclear,7.5,6.83
firm power substitutes,2.5,7.33
Department of Treasury,4.83,3.33
Department of Labor,4.67,3.0
environmental benefits,6.88,6.25
promote green mobility,6.88,6.25
physically mentally challenged children,6.88,6.25
Slovakia,7.25,6.5
 Russian energy,5.0,6.62
canada liberals conservatives,7.0,6.5
Ewan Mcgregor,6.62,6.0
Touro,6.25,5.75
National Environmental Protection Agency of Afghanistan NEPA,7.17,6.5
abortion,2.12,7.75
Tobacco,2.17,7.5
raise awareness,7.17,6.67
Alter Ego,7.12,6.62
Bitcoin,2.25,7.75
election,3.33,6.0
Jarmo Tanhua,5.83,5.33
Eurajoki eurajoenkunta,5.83,5.33
minaguli,7.83,7.0
Thirst4Water campaign,7.33,6.67
venus,6.88,6.38
longterm effects of HRT,4.67,5.33
reverse climate change,4.5,7.0
